1887,1,10,9
1887,2,10,10
1887,3,10,6
1887,4,10,5
1887,5,10,9
1252,1,10,7
1252,2,10,8
1252,3,10,6
1252,4,10,5
1252,5,10,5
1616,1,10,5
1616,2,10,7
1616,3,10,6
1616,4,10,10
1616,5,10,9
1706,1,10,8
1706,2,10,8
1706,3,10,7
1706,4,10,5
1706,5,10,9
1419,1,10,9
1419,2,10,10
1419,3,10,10
1419,4,10,8
1419,5,10,10
1625,1,10,6
1625,2,10,8
1625,3,10,10
1625,4,10,6
1625,5,10,9
1956,1,10,9
1956,2,10,10
1956,3,10,8
1956,4,10,8
1956,5,10,5
1297,1,10,10
1297,2,10,8
1297,3,10,8
1297,4,10,8
1297,5,10,6
1304,1,10,10
1304,2,10,10
1304,3,10,7
1304,4,10,6
1304,5,10,5
1239,1,10,9
1239,2,10,8
1239,3,10,6
1239,4,10,8
1239,5,10,7
1195,1,10,6
1195,2,10,8
1195,3,10,6
1195,4,10,10
1195,5,10,8
1244,1,10,10
1244,2,10,5
1244,3,10,8
1244,4,10,5
1244,5,10,8
1024,1,10,10
1024,2,10,8
1024,3,10,10
1024,4,10,7
1024,5,10,6
1467,1,10,6
1467,2,10,9
1467,3,10,9
1467,4,10,10
1467,5,10,9
1822,1,10,10
1822,2,10,5
1822,3,10,9
1822,4,10,9
1822,5,10,10
1232,1,10,9
1232,2,10,7
1232,3,10,8
1232,4,10,7
1232,5,10,6
1698,1,10,8
1698,2,10,6
1698,3,10,6
1698,4,10,10
1698,5,10,7
1257,1,10,5
1257,2,10,8
1257,3,10,9
1257,4,10,10
1257,5,10,5
1816,1,10,9
1816,2,10,10
1816,3,10,7
1816,4,10,10
1816,5,10,6
1957,1,10,6
1957,2,10,10
1957,3,10,10
1957,4,10,5
1957,5,10,10
